date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:46:27	54/54	---M-Z	200	added ('OK')	text/plain	etag:W/%2258851139-28%22	http://gameport.wiledia.com/robots.txt		(from )
09:46:27	91634/91634	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Feb%202017%2012:46:24%20GMT	http://gameport.wiledia.com/	C:/Meus%20Sites/Gamestore/gameport.wiledia.com/index.html	(from )
09:46:27	4049/4049	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2026%20Feb%202017%2012:46:25%20GMT	http://gameport.wiledia.com/img/apple-touch-icon.png%22	C:/Meus%20Sites/Gamestore/gameport.wiledia.com/img/apple-touch-icon.png_	(from http://gameport.wiledia.com/)
09:46:28	826/826	---M--	200	added ('OK')	image/png	etag:%225883bc9c-33a%22	http://gameport.wiledia.com/img/favicon-32x32.png	C:/Meus%20Sites/Gamestore/gameport.wiledia.com/img/favicon-32x32.png	(from http://gameport.wiledia.com/)
09:46:28	523/523	---M--	200	added ('OK')	image/png	etag:%225883bc9c-20b%22	http://gameport.wiledia.com/img/favicon-16x16.png	C:/Meus%20Sites/Gamestore/gameport.wiledia.com/img/favicon-16x16.png	(from http://gameport.wiledia.com/)
09:46:28	412/412	---MCZ	200	added ('OK')	application/json	etag:W/%225883bc9c-19c%22	http://gameport.wiledia.com/img/manifest.json	C:/Meus%20Sites/Gamestore/gameport.wiledia.com/img/manifest.json	(from http://gameport.wiledia.com/)
09:46:28	2800/2800	---M--	200	added ('OK')	image/svg+xml	etag:%225883bc9c-af0%22	http://gameport.wiledia.com/img/safari-pinned-tab.svg	C:/Meus%20Sites/Gamestore/gameport.wiledia.com/img/safari-pinned-tab.svg	(from http://gameport.wiledia.com/)
09:46:29	103820/103820	---MCZ	200	added ('OK')	text/css	etag:W/%2258a75397-1958c%22	http://gameport.wiledia.com/css/bootstrap.min.css	C:/Meus%20Sites/Gamestore/gameport.wiledia.com/css/bootstrap.min.css	(from http://gameport.wiledia.com/)
09:46:31	167278/167278	---MCZ	200	added ('OK')	text/css	etag:W/%2258a75397-28d6e%22	http://gameport.wiledia.com/css/bootstrap-extend.min.css	C:/Meus%20Sites/Gamestore/gameport.wiledia.com/css/bootstrap-extend.min.css	(from http://gameport.wiledia.com/)
09:46:31	108/108	---M-Z	200	added ('OK')	text/css	etag:W/%2258a75397-6c%22	http://gameport.wiledia.com/css/custom.css	C:/Meus%20Sites/Gamestore/gameport.wiledia.com/css/custom.css	(from http://gameport.wiledia.com/)
09:46:31	4956/4956	---M-Z	200	added ('OK')	text/css	etag:W/%2258a75480-135c%22	http://gameport.wiledia.com/vendor/notie/notie.css	C:/Meus%20Sites/Gamestore/gameport.wiledia.com/vendor/notie/notie.css	(from http://gameport.wiledia.com/)
09:46:31	194181/194181	---MCZ	200	added ('OK')	text/css	etag:W/%2258a75398-2f685%22	http://gameport.wiledia.com/css/site.css	C:/Meus%20Sites/Gamestore/gameport.wiledia.com/css/site.css	(from http://gameport.wiledia.com/)
09:46:31	3011/3011	---M-Z	200	added ('OK')	text/css	etag:W/%2258a75481-bc3%22	http://gameport.wiledia.com/vendor/owlcarousel/assets/owl.carousel.min.css	C:/Meus%20Sites/Gamestore/gameport.wiledia.com/vendor/owlcarousel/assets/owl.carousel.min.css	(from http://gameport.wiledia.com/)
09:46:32	1003/1003	---M-Z	200	added ('OK')	text/css	etag:W/%2258a75481-3eb%22	http://gameport.wiledia.com/vendor/owlcarousel/assets/owl.theme.default.min.css	C:/Meus%20Sites/Gamestore/gameport.wiledia.com/vendor/owlcarousel/assets/owl.theme.default.min.css	(from http://gameport.wiledia.com/)
09:46:32	31000/31000	---M-Z	200	added ('OK')	text/css	etag:W/%2258a75397-7918%22	http://gameport.wiledia.com/css/font-awesome.min.css	C:/Meus%20Sites/Gamestore/gameport.wiledia.com/css/font-awesome.min.css	(from http://gameport.wiledia.com/)
09:46:32	4563/4563	---M--	200	added ('OK')	image/png	etag:%2258b15f9b-11d3%22	http://gameport.wiledia.com/img/logo.png	C:/Meus%20Sites/Gamestore/gameport.wiledia.com/img/logo.png	(from http://gameport.wiledia.com/)
09:46:33	82989/82989	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Feb%202017%2012:46:30%20GMT	http://gameport.wiledia.com/listings	C:/Meus%20Sites/Gamestore/gameport.wiledia.com/listings.html	(from http://gameport.wiledia.com/)
09:46:34	82538/82538	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Feb%202017%2012:46:31%20GMT	http://gameport.wiledia.com/listings/ps4	C:/Meus%20Sites/Gamestore/gameport.wiledia.com/listings/ps4.html	(from http://gameport.wiledia.com/)
09:46:34	66779/66779	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Feb%202017%2012:46:31%20GMT	http://gameport.wiledia.com/listings/xboxone	C:/Meus%20Sites/Gamestore/gameport.wiledia.com/listings/xboxone.html	(from http://gameport.wiledia.com/)
09:46:34	72546/72546	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Feb%202017%2012:46:32%20GMT	http://gameport.wiledia.com/listings/pc	C:/Meus%20Sites/Gamestore/gameport.wiledia.com/listings/pc.html	(from http://gameport.wiledia.com/)
09:46:35	40726/40726	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Feb%202017%2012:46:32%20GMT	http://gameport.wiledia.com/listings/switch	C:/Meus%20Sites/Gamestore/gameport.wiledia.com/listings/switch.html	(from http://gameport.wiledia.com/)
09:46:35	49117/49117	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Feb%202017%2012:46:33%20GMT	http://gameport.wiledia.com/listings/wii-u	C:/Meus%20Sites/Gamestore/gameport.wiledia.com/listings/wii-u.html	(from http://gameport.wiledia.com/)
09:46:36	42247/42247	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Feb%202017%2012:46:33%20GMT	http://gameport.wiledia.com/listings/ps3	C:/Meus%20Sites/Gamestore/gameport.wiledia.com/listings/ps3.html	(from http://gameport.wiledia.com/)
09:46:36	43635/43635	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Feb%202017%2012:46:34%20GMT	http://gameport.wiledia.com/listings/xbox360	C:/Meus%20Sites/Gamestore/gameport.wiledia.com/listings/xbox360.html	(from http://gameport.wiledia.com/)
09:46:37	45359/45359	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Feb%202017%2012:46:34%20GMT	http://gameport.wiledia.com/listings/3ds	C:/Meus%20Sites/Gamestore/gameport.wiledia.com/listings/3ds.html	(from http://gameport.wiledia.com/)
09:46:37	40723/40723	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Feb%202017%2012:46:35%20GMT	http://gameport.wiledia.com/listings/vita	C:/Meus%20Sites/Gamestore/gameport.wiledia.com/listings/vita.html	(from http://gameport.wiledia.com/)
09:46:38	40702/40702	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Feb%202017%2012:46:35%20GMT	http://gameport.wiledia.com/listings/ds	C:/Meus%20Sites/Gamestore/gameport.wiledia.com/listings/ds.html	(from http://gameport.wiledia.com/)
09:46:38	40711/40711	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Feb%202017%2012:46:36%20GMT	http://gameport.wiledia.com/listings/ps2	C:/Meus%20Sites/Gamestore/gameport.wiledia.com/listings/ps2.html	(from http://gameport.wiledia.com/)
09:46:39	40687/40687	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Feb%202017%2012:46:36%20GMT	http://gameport.wiledia.com/listings/xbox	C:/Meus%20Sites/Gamestore/gameport.wiledia.com/listings/xbox.html	(from http://gameport.wiledia.com/)
09:46:39	40702/40702	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Feb%202017%2012:46:37%20GMT	http://gameport.wiledia.com/listings/ps	C:/Meus%20Sites/Gamestore/gameport.wiledia.com/listings/ps.html	(from http://gameport.wiledia.com/)
09:46:40	40681/40681	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Feb%202017%2012:46:37%20GMT	http://gameport.wiledia.com/listings/wii	C:/Meus%20Sites/Gamestore/gameport.wiledia.com/listings/wii.html	(from http://gameport.wiledia.com/)
09:46:40	42040/42040	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Feb%202017%2012:46:38%20GMT	http://gameport.wiledia.com/listings/gamecube	C:/Meus%20Sites/Gamestore/gameport.wiledia.com/listings/gamecube.html	(from http://gameport.wiledia.com/)
09:46:41	40705/40705	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Feb%202017%2012:46:38%20GMT	http://gameport.wiledia.com/listings/n64	C:/Meus%20Sites/Gamestore/gameport.wiledia.com/listings/n64.html	(from http://gameport.wiledia.com/)
09:46:41	40720/40720	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Feb%202017%2012:46:38%20GMT	http://gameport.wiledia.com/listings/gba	C:/Meus%20Sites/Gamestore/gameport.wiledia.com/listings/gba.html	(from http://gameport.wiledia.com/)
09:46:42	40732/40732	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Feb%202017%2012:46:39%20GMT	http://gameport.wiledia.com/listings/psp	C:/Meus%20Sites/Gamestore/gameport.wiledia.com/listings/psp.html	(from http://gameport.wiledia.com/)
09:46:42	43674/43674	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Feb%202017%2012:46:39%20GMT	http://gameport.wiledia.com/listings/dreamcast	C:/Meus%20Sites/Gamestore/gameport.wiledia.com/listings/dreamcast.html	(from http://gameport.wiledia.com/)
09:46:42	64794/64794	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Feb%202017%2012:46:40%20GMT	http://gameport.wiledia.com/games	C:/Meus%20Sites/Gamestore/gameport.wiledia.com/games.html	(from http://gameport.wiledia.com/)
09:46:43	50561/50561	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Feb%202017%2012:46:40%20GMT	http://gameport.wiledia.com/games/tom-clancys-ghost-recon-wildlands-ps4-175	C:/Meus%20Sites/Gamestore/gameport.wiledia.com/games/tom-clancys-ghost-recon-wildlands-ps4-175.html	(from http://gameport.wiledia.com/)
09:46:43	48311/48311	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Feb%202017%2012:46:41%20GMT	http://gameport.wiledia.com/games/1-2-switch-switch-186	C:/Meus%20Sites/Gamestore/gameport.wiledia.com/games/1-2-switch-switch-186.html	(from http://gameport.wiledia.com/)
09:46:44	48214/48214	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Feb%202017%2012:46:41%20GMT	http://gameport.wiledia.com/games/super-bomberman-r-switch-407	C:/Meus%20Sites/Gamestore/gameport.wiledia.com/games/super-bomberman-r-switch-407.html	(from http://gameport.wiledia.com/)
