HTTrack3.48-22+htsswf+htsjava launched on Sun, 26 Feb 2017 09:46:26 at http://gameport.wiledia.com/ +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar
(winhttrack -qwC2%Ps2u1%s%uN0%I0p3DaK0H0%kf2A25000%f#f -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "pt_BR, en, *" http://gameport.wiledia.com/ -O1 "C:\Meus Sites\Gamestore" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

09:48:22	Error: 	"Not Found" (404) at link gameport.wiledia.com/img/apple-touch-icon.png" (from gameport.wiledia.com/)
09:52:52	Warning: 	Retry after error -4 (No data (connection closed)) at link gameport.wiledia.com/listings/grand-theft-auto-iv-pc-demo-391 (from gameport.wiledia.com/)
09:52:52	Warning: 	Retry after error -4 (No data (connection closed)) at link gameport.wiledia.com/logos/pc_tiny.png (from gameport.wiledia.com/)
09:52:55	Warning: 	Retry after error -4 (No data (connection closed)) at link gameport.wiledia.com/listings/resident-evil-7-biohazard-ps4-lee.kemp-386 (from gameport.wiledia.com/)
09:52:57	Warning: 	Retry after error -4 (No data (connection closed)) at link gameport.wiledia.com/listings/halo-5-guardians-xboxone-lee.kemp-381 (from gameport.wiledia.com/)
09:52:57	Warning: 	Retry after error -4 (No data (connection closed)) at link gameport.wiledia.com/logos/xboxone_tiny.png (from gameport.wiledia.com/)
09:52:58	Warning: 	Retry after error -4 (No data (connection closed)) at link gameport.wiledia.com/listings/abzu-ps4-lee.kemp-379 (from gameport.wiledia.com/)
09:53:01	Warning: 	Retry after error -4 (No data (connection closed)) at link gameport.wiledia.com/user/hhhhhhh (from gameport.wiledia.com/)
09:53:05	Warning: 	Retry after error -4 (No data (connection closed)) at link gameport.wiledia.com/images/avatar_square_tiny/1487666762-347.jpg (from gameport.wiledia.com/)
09:53:11	Warning: 	Retry after error -4 (No data (connection closed)) at link gameport.wiledia.com/user/joaovictor (from gameport.wiledia.com/)
09:53:14	Warning: 	Retry after error -4 (No data (connection closed)) at link gameport.wiledia.com/user/alissom.santos (from gameport.wiledia.com/)
