date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:52:51	7669/7669	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Dec%202016%2000:12:26%20GMT	http://atypicalthemes.com/portfolio/nixo_creative_demo/nixo.html	C:/Meus%20Sites/nixo%20template%20para%20website%20demo/atypicalthemes.com/portfolio/nixo_creative_demo/nixo.html	(from )
20:52:51	246/246	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Jan%202017%2022:50:20%20GMT	http://atypicalthemes.com/robots.txt		(from )
20:52:52	3354/3354	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Dec%202016%2023:56:40%20GMT	http://atypicalthemes.com/portfolio/nixo_creative_demo/img/favicon.png	C:/Meus%20Sites/nixo%20template%20para%20website%20demo/atypicalthemes.com/portfolio/nixo_creative_demo/img/favicon.png	(from http://atypicalthemes.com/portfolio/nixo_creative_demo/nixo.html)
20:52:52	117305/117305	---MCZ	200	added ('OK')	text/css	date:Thu,%2001%20Dec%202016%2023:56:39%20GMT	http://atypicalthemes.com/portfolio/nixo_creative_demo/css/bootstrap.min.css	C:/Meus%20Sites/nixo%20template%20para%20website%20demo/atypicalthemes.com/portfolio/nixo_creative_demo/css/bootstrap.min.css	(from http://atypicalthemes.com/portfolio/nixo_creative_demo/nixo.html)
20:52:52	12839/12839	---MCZ	200	added ('OK')	text/css	date:Thu,%2001%20Dec%202016%2023:56:39%20GMT	http://atypicalthemes.com/portfolio/nixo_creative_demo/style.css	C:/Meus%20Sites/nixo%20template%20para%20website%20demo/atypicalthemes.com/portfolio/nixo_creative_demo/style.css	(from http://atypicalthemes.com/portfolio/nixo_creative_demo/nixo.html)
20:52:53	9742/9742	---MCZ	200	added ('OK')	text/css	date:Thu,%2001%20Dec%202016%2023:56:39%20GMT	http://atypicalthemes.com/portfolio/nixo_creative_demo/css/pe-icon-7-stroke.css	C:/Meus%20Sites/nixo%20template%20para%20website%20demo/atypicalthemes.com/portfolio/nixo_creative_demo/css/pe-icon-7-stroke.css	(from http://atypicalthemes.com/portfolio/nixo_creative_demo/nixo.html)
20:52:53	27466/27466	---MCZ	200	added ('OK')	text/css	date:Thu,%2001%20Dec%202016%2023:56:39%20GMT	http://atypicalthemes.com/portfolio/nixo_creative_demo/css/font-awesome.min.css	C:/Meus%20Sites/nixo%20template%20para%20website%20demo/atypicalthemes.com/portfolio/nixo_creative_demo/css/font-awesome.min.css	(from http://atypicalthemes.com/portfolio/nixo_creative_demo/nixo.html)
20:52:53	3986/3986	---MCZ	200	added ('OK')	text/css	date:Thu,%2001%20Dec%202016%2023:56:39%20GMT	http://atypicalthemes.com/portfolio/nixo_creative_demo/css/helper.css	C:/Meus%20Sites/nixo%20template%20para%20website%20demo/atypicalthemes.com/portfolio/nixo_creative_demo/css/helper.css	(from http://atypicalthemes.com/portfolio/nixo_creative_demo/nixo.html)
20:52:54	48594/48594	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Jan%202017%2020:40:17%20GMT	http://atypicalthemes.com/portfolio/nixo_creative_demo/pages/style1/parallax/index.html	C:/Meus%20Sites/nixo%20template%20para%20website%20demo/atypicalthemes.com/portfolio/nixo_creative_demo/pages/style1/parallax/index.html	(from http://atypicalthemes.com/portfolio/nixo_creative_demo/nixo.html)
20:52:55	48596/48596	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Jan%202017%2020:41:12%20GMT	http://atypicalthemes.com/portfolio/nixo_creative_demo/pages/style1/static/index.html	C:/Meus%20Sites/nixo%20template%20para%20website%20demo/atypicalthemes.com/portfolio/nixo_creative_demo/pages/style1/static/index.html	(from http://atypicalthemes.com/portfolio/nixo_creative_demo/nixo.html)
20:52:56	29065/29065	---M--	200	added ('OK')	image/jpeg	date:Thu,%2001%20Dec%202016%2023:56:40%20GMT	http://atypicalthemes.com/portfolio/nixo_creative_demo/img/paralax_prev.jpg	C:/Meus%20Sites/nixo%20template%20para%20website%20demo/atypicalthemes.com/portfolio/nixo_creative_demo/img/paralax_prev.jpg	(from http://atypicalthemes.com/portfolio/nixo_creative_demo/nixo.html)
20:52:56	48932/48932	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Jan%202017%2020:41:36%20GMT	http://atypicalthemes.com/portfolio/nixo_creative_demo/pages/style1/video/index.html	C:/Meus%20Sites/nixo%20template%20para%20website%20demo/atypicalthemes.com/portfolio/nixo_creative_demo/pages/style1/video/index.html	(from http://atypicalthemes.com/portfolio/nixo_creative_demo/nixo.html)
20:52:57	51015/51015	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Jan%202017%2020:40:43%20GMT	http://atypicalthemes.com/portfolio/nixo_creative_demo/pages/style1/slider/index.html	C:/Meus%20Sites/nixo%20template%20para%20website%20demo/atypicalthemes.com/portfolio/nixo_creative_demo/pages/style1/slider/index.html	(from http://atypicalthemes.com/portfolio/nixo_creative_demo/nixo.html)
