date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:09:44	1963/1963	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Feb%202017%2000:09:33%20GMT	https://tapshop.herokuapp.com/	C:/Meus%20Sites/shopapp/tapshop.herokuapp.com/index.html	(from )
22:09:44	0/0	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Feb%202017%2000:09:33%20GMT	https://tapshop.herokuapp.com/robots.txt		(from )
22:09:45	42414/42414	---MCZ	200	added ('OK')	text/css	etag:%227ff932a0859a7466154be23cde3e46eb61407312%22	https://tapshop.herokuapp.com/7ff932a0859a7466154be23cde3e46eb61407312.css?meteor_css_resource=true	C:/Meus%20Sites/shopapp/tapshop.herokuapp.com/7ff932a0859a7466154be23cde3e46eb61407312d214.css	(from https://tapshop.herokuapp.com/)
22:09:45	213331/213331	---MCZ	200	added ('OK')	text/css	etag:%22fca32cbab9092450856e27c50c18761df2978598%22	https://tapshop.herokuapp.com/fca32cbab9092450856e27c50c18761df2978598.css?meteor_css_resource=true	C:/Meus%20Sites/shopapp/tapshop.herokuapp.com/fca32cbab9092450856e27c50c18761df2978598d214.css	(from https://tapshop.herokuapp.com/)
22:09:46	12611/12611	---M--	200	added ('OK')	image/png	etag:%2212250b4805eeb714320d2f71f3c8381592ea7ff5%22	https://tapshop.herokuapp.com/images/icons/apple-touch-icon-120x120.png	C:/Meus%20Sites/shopapp/tapshop.herokuapp.com/images/icons/apple-touch-icon-120x120.png	(from https://tapshop.herokuapp.com/)
22:09:47	1466/1466	---M--	200	added ('OK')	image/png	etag:%22f90f3ee44351abac8d4a62100cabe572340031da%22	https://tapshop.herokuapp.com/images/icons/favicon-32x32.png	C:/Meus%20Sites/shopapp/tapshop.herokuapp.com/images/icons/favicon-32x32.png	(from https://tapshop.herokuapp.com/)
22:09:47	584/584	---M--	200	added ('OK')	image/png	etag:%2257b18999f8f7fb85338124eceb15b4bc8acc9bbb%22	https://tapshop.herokuapp.com/images/icons/favicon-16x16.png	C:/Meus%20Sites/shopapp/tapshop.herokuapp.com/images/icons/favicon-16x16.png	(from https://tapshop.herokuapp.com/)
22:09:53	120724/120724	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:%2261532e89e212f8dd16ba31f3ebcf35c0a7334035%22	https://tapshop.herokuapp.com/packages/driftyco_ionic/release/fonts/ionicons.eot?v=2.0.1	C:/Meus%20Sites/shopapp/tapshop.herokuapp.com/packages/driftyco_ionic/release/fonts/ionicons790f.eot	(from https://tapshop.herokuapp.com/fca32cbab9092450856e27c50c18761df2978598.css?meteor_css_resource=true)
22:09:53	188508/188508	---MCZ	200	added ('OK')	application/x-font-ttf	etag:%221b0a0de084905946a20300ca8c354865dec46764%22	https://tapshop.herokuapp.com/packages/driftyco_ionic/release/fonts/ionicons.ttf?v=2.0.1	C:/Meus%20Sites/shopapp/tapshop.herokuapp.com/packages/driftyco_ionic/release/fonts/ionicons790f.ttf	(from https://tapshop.herokuapp.com/fca32cbab9092450856e27c50c18761df2978598.css?meteor_css_resource=true)
22:09:54	67904/67904	---M--	200	added ('OK')	application/font-woff	etag:%22e46819e863a46751d622c1190c4e8a83ebc20612%22	https://tapshop.herokuapp.com/packages/driftyco_ionic/release/fonts/ionicons.woff?v=2.0.1	C:/Meus%20Sites/shopapp/tapshop.herokuapp.com/packages/driftyco_ionic/release/fonts/ionicons790f.woff	(from https://tapshop.herokuapp.com/fca32cbab9092450856e27c50c18761df2978598.css?meteor_css_resource=true)
