date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:44:20	208/208	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2026%20Feb%202017%2012:44:17%20GMT	https://demo.muvikoscript.com/robots.txt		(from )
09:44:20	15490/15490	---MC-	200	added ('OK')	text/html	date:Sun,%2026%20Feb%202017%2012:44:17%20GMT	https://demo.muvikoscript.com/	C:/Meus%20Sites/younext%20template/demo.muvikoscript.com/index.html	(from )
09:44:21	213/213	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2026%20Feb%202017%2012:44:18%20GMT	https://demo.muvikoscript.com/img/favicon.png	C:/Meus%20Sites/younext%20template/demo.muvikoscript.com/img/favicon.png	(from https://demo.muvikoscript.com/)
09:44:21	1476/1476	---M--	200	added ('OK')	text/css	etag:%225c4-54807bd4578f8%22	https://demo.muvikoscript.com/themes/flixer/assets/css/owl.carousel.css	C:/Meus%20Sites/younext%20template/demo.muvikoscript.com/themes/flixer/assets/css/owl.carousel.css	(from https://demo.muvikoscript.com/)
09:44:21	4476/4476	---M--	200	added ('OK')	text/css	etag:%22117c-54807bd4c1078%22	https://demo.muvikoscript.com/themes/flixer/assets/css/owl.transitions.css	C:/Meus%20Sites/younext%20template/demo.muvikoscript.com/themes/flixer/assets/css/owl.transitions.css	(from https://demo.muvikoscript.com/)
09:44:22	146324/146324	---M--	200	added ('OK')	text/css	etag:%2223b94-54807c07e4950%22	https://demo.muvikoscript.com/themes/flixer/assets/bootstrap3/css/bootstrap.css	C:/Meus%20Sites/younext%20template/demo.muvikoscript.com/themes/flixer/assets/bootstrap3/css/bootstrap.css	(from https://demo.muvikoscript.com/)
09:44:22	42839/42839	---M--	200	added ('OK')	text/css	etag:%22a757-54807bd3d1488%22	https://demo.muvikoscript.com/themes/flixer/assets/css/jquery.mCustomScrollbar.min.css	C:/Meus%20Sites/younext%20template/demo.muvikoscript.com/themes/flixer/assets/css/jquery.mCustomScrollbar.min.css	(from https://demo.muvikoscript.com/)
09:44:23	11040/11040	---M--	200	added ('OK')	text/css	etag:%222b20-54807bd2b5d60%22	https://demo.muvikoscript.com/themes/flixer/assets/css/chosen.min.css	C:/Meus%20Sites/younext%20template/demo.muvikoscript.com/themes/flixer/assets/css/chosen.min.css	(from https://demo.muvikoscript.com/)
09:44:23	12161/12161	---M--	200	added ('OK')	text/css	etag:%222f81-54807bd29b398%22	https://demo.muvikoscript.com/themes/flixer/assets/css/chosen-bootstrap.css	C:/Meus%20Sites/younext%20template/demo.muvikoscript.com/themes/flixer/assets/css/chosen-bootstrap.css	(from https://demo.muvikoscript.com/)
09:44:23	72259/72259	---M--	200	added ('OK')	text/css	etag:%2211a43-54807bd2133d0%22	https://demo.muvikoscript.com/themes/flixer/assets/css/animate.css	C:/Meus%20Sites/younext%20template/demo.muvikoscript.com/themes/flixer/assets/css/animate.css	(from https://demo.muvikoscript.com/)
09:44:23	21682/21682	---M--	200	added ('OK')	text/css	etag:%2254b2-54807c1405518%22	https://demo.muvikoscript.com/themes/flixer/assets/tel-input/css/intlTelInput.css	C:/Meus%20Sites/younext%20template/demo.muvikoscript.com/themes/flixer/assets/tel-input/css/intlTelInput.css	(from https://demo.muvikoscript.com/)
